Item,Category,Tier,Notes
Crescent Moon,Amulet,None,Decent Amulet for Attack builds early on if in need of Mana and / or Life Leech | Stats: x% Mana stolen per hitx% Life stolen per hit
Crow Caw,Body Armor,None,Good Low Level option for Mercenaries and Attack builds
Crushflange,Weapon,None,Early Leveling Weapon for melee attack builds. Can be used for Uber Tristram builds | Stats: +x% Enhanced Damage
Culwen's Point,Weapon,TRASH,Charsi food
Dangoon's Teaching,Weapon (Set),TRASH,Charsi food
Dark Adherent,Body Armor (Set),TRASH,Charsi food
Dark Clan Crusher,Weapon,TRASH,Charsi food
Darkglow,Body Armor,None,Good Armor for Mercenaries and Characters at low Levels due to All Resistances
Darksight Helm,Helm,TRASH,Charsi food
Death's Touch,Weapon (Set),TRASH,Charsi food
Deathbit,Weapon,None,Starter Throw Barbarian Weapon. Better if upgraded with the Horadric Cube Recipe | Stats: Ethereal+x% Enhanced Damagex% Life stolen per hitx% Mana stolen per hit
Deathspade,Weapon,TRASH,Charsi food
Demon's Arch,Weapon,None,Solid Throw Barbarian option. Medium Value if Ethereal | Stats: Ethereal+x% Enhanced Damagex% Life stolen per hit
Demonhorn's Edge,Helm,TRASH,Charsi food
Dimoak's Hew,Weapon,TRASH,Charsi food
Djinn Slayer,Weapon,TRASH,Charsi food
Doombringer,Weapon,None,Iconic Weapon for melee Attack builds. Can easily be replaced by other Weapons | Stats: +x% Enhanced Damage+x% Life stolen per hit
Doomslinger,Weapon,TRASH,Charsi food
Dragonscale,Shield,TRASH,Charsi food
Duskdeep,Helm,TRASH,Charsi food
Eaglehorn,Weapon,None,Can be used on budget Bow Amazon builds. Example: Multiple Shot Amazon
Earthshaker,Weapon,None,Good option for Leveling an Elemental Druid. Example: Fissure Druid
Endlesshail,Weapon,TRASH,Charsi food
Ethereal Edge,Weapon,TRASH,Charsi food
Executioner's Justice,Weapon,TRASH,Charsi food
Felloak,Weapon,TRASH,Charsi food
Firelizard's Talons,Weapon,TRASH,Charsi food
Flamebellow,Weapon,TRASH,Charsi food
Fleshrender,Weapon,None,Strong budget Weapon for a Smiter or a Dragon Talon Assassin
Frostwind,Weapon,TRASH,Charsi food
Ghostflame,Weapon,TRASH,Charsi food
Ghoulhide,Gloves,TRASH,Charsi food
Gimmershred,Weapon,None,Strong budget Throw Barbarian Weapon | Stats: +x% Enhanced Damage
Ginther's Rift,Weapon,TRASH,Charsi food
Gleamscythe,Weapon,TRASH,Charsi food
Gloom's Trap,Belt,TRASH,Charsi food
Goldskin,Body Armor,None,Good early option for Gold Find Barbarians and Mercenaries
Gorefoot,Boots,TRASH,Charsi food
Goreshovel,Weapon,TRASH,Charsi food
Gravenspine,Weapon,TRASH,Charsi food
Gravepalm,Gloves,TRASH,Charsi food
Greyform,Body Armor,None,Early-game Leveling Armor
Grim's Burning Dead,Weapon,TRASH,Charsi food
Griswold's Edge,Weapon,TRASH,Charsi food
Griswold's Heart,Body Armor (Set),None,Good early-game Mercenary Armor to reach the Strength needed for Colossus Voulge. Usually socketed with Perfect Amethysts. Full Set used in niche Paladin setups
Guardian Naga,Weapon,TRASH,Charsi food
Gut Siphon,Weapon,TRASH,Charsi food
Haemosu's Adamant,Body Armor,None,Decent early-game Mercenary Armor
Halaberd's Reign,Helm,None,Potential +4 to Battle Orders Helmet for Support Barbarians | Stats: +x to Battle Orders+x to Battle Command. Replenish Life +x
Hawkmail,Body Armor,None,Strong low Level Armor for Attack builds and Mercenaries
Headstriker,Weapon,None,Used for niche Act 5 Mercenary damage setups | Stats: Ethereal
Heart Carver,Weapon,None,Source of Find Item for Barbarians without spending Skill Points
Heavenly Garb,Body Armor,TRASH,Charsi food
Hellcast,Weapon,TRASH,Charsi food
Hellclap,Weapon,TRASH,Charsi food
Hellmouth,Gloves,None,Niche item for Leveling
Hellplague,Weapon,TRASH,Charsi food
Hellrack,Weapon,TRASH,Charsi food
Hellslayer,Weapon,None,Decent Weapon option for Shapeshifting Druids or Whirlwind Barbarians
Hexfire,Weapon,None,Strong Starter Weapon for Holy Fire Paladins and Fire Claws Druids
Hone Sundan,Weapon,None,Strong budget Mercenary damage option due to its Crushing Blow stat. Solid budget option for a Jab Fend Amazon as well | Stats: Ethereal+x% Enhanced Damage
Horizon's Tornado,Weapon,TRASH,Charsi food
Howltusk,Helm,TRASH,Charsi food
Hsarus' Iron Fist,Shield (Set),TRASH,Charsi food
Hsarus' Iron Heel,Boots (Set),None,Strong Leveling Item
Hsarus' Iron Stay,Belt (Set),None,Strong Leveling Item
Humongous,Weapon,TRASH,Charsi food
Husoldal Evo,Weapon,TRASH,Charsi food
Hwanin's Blessing,Amulet (Set),None,Niche source of Prevent Monster Heal
Hwanin's Justice,Weapon (Set),None,Good Mercenary Weapon before Insight
Hwanin's Refuge,Body Armor (Set),TRASH,Charsi food
Hwanin's Splendor,Helm (Set),TRASH,Charsi food
Iceblink,Body Armor,TRASH,Charsi food
Ichorsting,Weapon,TRASH,Charsi food
Infernal Cranium,Helm (Set),None,Low Level Resistance Helmet
Infernal Sign,Ring (Set),TRASH,Charsi food
Infernal Torch,Weapon (Set),TRASH,Charsi food
Iratha's Coil,Helm (Set),None,Full Iratha's Finery Set helps with capping Resistances in low Levels
Iratha's Collar,Amulet (Set),None,Full Iratha's Finery Set helps with capping Resistances in low Levels
Iratha's Cord,Belt (Set),None,Full Iratha's Finery Set helps with capping Resistances in low Levels
Iratha's Cuff,Gloves (Set),None,Full Iratha's Finery Set helps with capping Resistances in low Levels
Iron Pelt,Body Armor,TRASH,Charsi food
Ironstone,Weapon,TRASH,Charsi food
Isenhart's Case,Body Armor (Set),TRASH,Charsi food
Isenhart's Horns,Helm (Set),TRASH,Charsi food
Isenhart's Lightbrand,Weapon (Set),TRASH,Charsi food
Isenhart's Parry,Shield (Set),TRASH,Charsi food
Islestrike,Weapon,TRASH,Charsi food
Jade Talon,Weapon,None,Niche use on Martial Arts Assassin builds. Example: Phoenix Strike Assassin | Stats: +x to Martial Arts+x to Shadow Disciplines+x% Enhanced Damage. All Resistances +xx% Mana stolen per hit
Kelpie Snare,Weapon,None,Strong Mercenary Weapon with a massive Slow Effect | Stats: Ethereal+x% Enhanced Damage
Kinemil's Awl,Weapon,TRASH,Charsi food
Knell Striker,Weapon,None,Low Level Weapon with Crushing Blow
Kuko Shakaku,Weapon,None,Strong Leveling Bow for Amazons | Stats: +x% Enhanced Damage
Lance Guard,Shield,TRASH,Charsi food
Lance of Yaggai,Weapon,TRASH,Charsi food
Langer Briser,Weapon,TRASH,Charsi food
Lava Gout,Gloves,None,Niche Leveling Gloves
Leadcrow,Weapon,TRASH,Charsi food
Lenymo,Belt,TRASH,Charsi food
Lycander's Aim,Weapon,None,Solid Leveling Bow Amazon Weapon. Example: Freezing Arrow Amazon | Stats: +x% Enhanced Damagex% Mana stolen per hit
Lycander's Flank,Weapon,None,Budget Jab Fend Amazon Weapon | Stats: +x% Enhanced Damagex% Life stolen per hit
M'avina's Icy Clutch,Gloves (Set),None,Provides the Cannot Be Frozen stat. Typically used in full M'avina's Battle Hymn setups. Example: Freezing Arrow Amazon
M'avina's Tenet,Belt (Set),None,Only used in full M'avina's Battle Hymn setups. Example: Freezing Arrow Amazon
Maelstrom,Weapon,None,Early-game Weapon for Casters | Stats: +x to Corpse Explosion+x to Amplify Damage
Magewrath,Weapon,TRASH,Charsi food
Magnus' Skin,Gloves,None,Good Gloves for Leveling Attack builds
Manald Heal,Ring,None,Early-game Mana Leech solution | Stats: x% Mana stolen per hit
Mang Song's Lesson,Weapon,None,One of the rarest items in the game. Used in niche Sorceress builds | Stats: -x% to Enemy Fire Resistance-x% to Enemy Cold Resistance-x% to Enemy Lightning Resistance
Medusa's Gaze,Shield,TRASH,Charsi food
Messerschmidt's Reaver,Weapon,TRASH,Charsi food
Milabrega's Diadem,Helm (Set),TRASH,Charsi food
Milabrega's Orb,Shield (Set),None,Early-game Magic Find Shield prior to Rhyme
Milabrega's Robe,Body Armor (Set),TRASH,Charsi food
Milabrega's Rod,Weapon (Set),TRASH,Charsi food
Moonfall,Weapon,TRASH,Charsi food
Naj's Circlet,Helm (Set),None,Full Set grants solid Magic Find
Naj's Light Plate,Body Armor (Set),None,Solid mid-game progression Armor. Full Set grants solid Magic Find
Natalya's Shadow,Body Armor (Set),None,Used in Full Natalya's Odium setups on niche Martial Arts Assassins. Example: Phoenix Strike Assassin | Stats: Socketed [3] required
Natalya's Totem,Helm (Set),None,Good All Resistances Helmet. Used in Full Natalya's Odium setups on niche Martial Arts Assassins. Example: Phoenix Strike Assassin | Stats: All Resistances +20+x to Strength+x to Dexterity
Nightsmoke,Belt,None,Good Leveling Belt due to All Resistances
Nokozan Relic,Amulet,None,Strong Amulet in areas with high Fire Damage
Nord's Tenderizer,Weapon,TRASH,Charsi food
Ondal's Almighty,Helm (Set),TRASH,Charsi food
Pelta Lunata,Shield,TRASH,Charsi food
Pierre Tombale Couant,Weapon,TRASH,Charsi food
Plague Bearer,Weapon,None,Budget Rabies Druid Weapon
Pluckeye,Weapon,TRASH,Charsi food
Pompeii's Wrath,Weapon,TRASH,Charsi food
Pus Spitter,Weapon,TRASH,Charsi food
Radament's Sphere,Weapon,TRASH,Charsi food
Rakescar,Weapon,TRASH,Charsi food
Rattlecage,Body Armor,None,Good Mercenary option to provide Crushing Blow Used as Swap for Bosses on melee Attack builds during Leveling
Razor's Edge,Weapon,None,Strong budget melee Weapon. Example: Zeal Paladin | Stats: +x% Enhanced Damage
Razorswitch,Weapon,None,Strong Caster option instead of the Spirit + Ancient's Pledgecombination
Razortine,Weapon,TRASH,Charsi food
Riphook,Weapon,TRASH,Charsi food
Ripsaw,Weapon,TRASH,Charsi food
Rite of Passage,Boots (Set),TRASH,Charsi food
Rixot's Keen,Weapon,None,Low Level Weapon with Crushing Blow
Rockfleece,Body Armor,None,Early-game survivability Armor for melee Attack builds and Mercenaries
Rogue's Bow,Weapon,TRASH,Charsi food
Rune Master,Weapon,None,Can socket 5x Ist Runein it for off-hand Magic Find. Example: Berserk Barbarian | Stats: Socketed [5] required. Ethereal
Rusthandle,Weapon,TRASH,Charsi food
Sander's Paragon,Helm (Set),None,Early-game Magic Find Helmet
Sander's Riprap,Boots (Set),None,Great utility Boots while Leveling
Sander's Superstition,Weapon (Set),None,Great for early Leveling prior to Spirit
Sander's Taboo,Gloves (Set),None,"Good early Leveling Gloves, especially for Attack builds"
Saracen’s Chance,Amulet,None,Temporary Resistance and Attribute Amulet | Stats: All Resistances +x
Sazabi's Cobalt Redeemer,Weapon (Set),TRASH,Charsi food
Sazabi's Ghost Liberator,Body Armor (Set),None,Niche Mercenary Armor | Stats: +x to Life
Sazabi's Mental Sheath,Helm (Set),None,Mid-game progression Helm. Grants +1 to All Skills | Stats: Lightning Resist +x%Fire Resist +x%
Serpent Lord,Weapon,TRASH,Charsi food
Shadow Killer,Weapon,TRASH,Charsi food
Shadowfang,Weapon,TRASH,Charsi food
Silks of the Victor,Body Armor,None,It grants +1 to All Skills
Skewer of Krintiz,Weapon,TRASH,Charsi food
Skin of the Flayed One,Body Armor,None,Provides Mercenaries with Life Leech | Stats: x% Life stolen per hit
Skull Collector,Weapon,TRASH,Charsi food
Skull Splitter,Weapon,TRASH,Charsi food
Skystrike,Weapon,TRASH,Charsi food
Snakecord,Belt,TRASH,Charsi food
Soul Drainer,Gloves,None,Can be used on builds that require Dual Leech | Stats: x% Mana stolen per hitx% Life stolen per hit
Soul Harvest,Weapon,TRASH,Charsi food
Soulfeast Tine,Weapon,TRASH,Charsi food
Soulflay,Weapon,TRASH,Charsi food
Sparking Mail,Body Armor,TRASH,Charsi food
Spectral Shard,Weapon,None,Budget Wizardspikefor Caster Builds
Spellsteel,Weapon,None,Used as source of Teleporton your Weapon-swap | Stats: Magic Damage Reduced by x
Spike Thorn,Shield,TRASH,Charsi food
Spineripper,Weapon,TRASH,Charsi food
Spire of Honor,Weapon,None,Niche Mercenary Weapon | Stats: Ethereal+x% Enhanced Damage
Spire of Lazarus,Weapon,TRASH,Charsi food
Spirit Forge,Body Armor,None,Early-game Mercenary Armor
Spirit Keeper,Helm,None,Defensive Helmet for Druids. Used in certain Pv. P scenarios. Requires +2 to Druid Skills | Stats: +x to Druid Skill Levels. Fire Resist +x%+x Lightning Absorb. Cold Absorb x%
Spirit Ward,Shield,None,Niche Shield for high Chance to Block and Resistances. Low Value in Hardcore | Stats: x% Increased Chance of Blocking. All Restiances +x+x Cold Absorb
Steel Carapace,Body Armor,TRASH,Charsi food
Steel Pillar,Weapon,TRASH,Charsi food
Steel Shade,Helm,TRASH,Charsi food
Steelclash,Shield,None,"Good low Level Shield option, especially for Paladins"
Steeldriver,Weapon,TRASH,Charsi food
Steelgoad,Weapon,TRASH,Charsi food
Stone Crusher,Weapon,TRASH,Charsi food
Stoneraven,Weapon,None,Budget Jab Fend Amazon Weapon | Stats: +x% Enhanced Damage+x to Javelin and Spear Skills [Amazon Only]
Stormchaser,Shield,TRASH,Charsi food
Stormeye,Weapon,TRASH,Charsi food
Stormguild,Shield,TRASH,Charsi food
Stormrider,Weapon,TRASH,Charsi food
Stormspike,Weapon,TRASH,Charsi food
Stormspire,Weapon,TRASH,Charsi food
Stormstrike,Weapon,TRASH,Charsi food
Stoutnail,Weapon,TRASH,Charsi food
Sureshrill Frost,Weapon,TRASH,Charsi food
Swordback Hold,Shield,TRASH,Charsi food
Swordguard,Weapon,TRASH,Charsi food
Taebaek's Glory,Body Armor (Set),TRASH,Charsi food
Tancred's Crowbill,Weapon (Set),TRASH,Charsi food
Tancred's Hobnails,Boots (Set),None,Great early-game Magic Find option in combination with Tancred's Weird
Tancred's Skull,Helm (Set),TRASH,Charsi food
Tancred's Spine,Body Armor (Set),TRASH,Charsi food
Tancred's Weird,Amulet (Set),None,Great early-game Magic Find option in combination with Tancred's Hobnails
Tearhaunch,Boots,None,Decent early-game Boots with All Resistances
Telling of Beads,Amulet,None,It grants +1 to All Skills. Good early to mid-game Amulet
Templar's Might,Body Armor,None,Used in niche builds | Stats: +x to Strength+x to Vitality+x to Offensive Auras
The Atlantean,Weapon,TRASH,Charsi food
The Battlebranch,Weapon,None,Decent low Level Mercenary Weapon
The Centurion,Body Armor,TRASH,Charsi food
The Chieftain,Weapon,TRASH,Charsi food
The Diggler,Weapon,TRASH,Charsi food
The Dragon Chang,Weapon,TRASH,Charsi food
The Eye of Etlich,Amulet,None,Low Level Requirement Amulet with +1 to All Skills | Stats: x% Life stolen per hit. Adds x - x Cold Damage
The Face of Horror,Helm,None,Decent early-game Mercenary Helmet
The Fetid Sprinkler,Weapon,TRASH,Charsi food
The Gavel of Pain,Weapon,None,Niche use on Weapon-Swap for its Amplify Damage Charges
The General's Tan Do Li Ga,Weapon,TRASH,Charsi food
The Gladiator's Bane,Body Armor,None,Niche use on Mercenaries and Attack builds | Stats: Ethereal (on Mercenaries)Damage Reduced by x. Magic Damage Reduced by x
The Gnasher,Weapon,None,Strong budget Weapon for a Smiter
The Grim Reaper,Weapon,TRASH,Charsi food
The Hand of Broc,Gloves,None,Usable in very low Levels Attack builds and builds with high demand for Mana
The Impaler,Weapon,TRASH,Charsi food
The Iron Jang Bong,Weapon,TRASH,Charsi food
The Jade Tan Do,Weapon,TRASH,Charsi food
The Mahim-Oak Curio,Amulet,TRASH,Charsi food
The Meat Scraper,Weapon,TRASH,Charsi food
The Minotaur,Weapon,TRASH,Charsi food
The Patriarch,Weapon,TRASH,Charsi food
The Rising Sun,Amulet,None,High reduction of incoming Fire Damage
The Salamander,Weapon,TRASH,Charsi food
The Scalper,Weapon,None,Starter Throw Barbarian Weapon. Upgrade it using the Horadric Cube Recipe | Stats: +x% Enhanced Damage
The Spirit Shroud,Body Armor,None,Solid early-game option for Attack builds that require +x to All Skills | Stats: Magic Damage Reduced by x
The Tannr Gorerod,Weapon,TRASH,Charsi food
The Vile Husk,Weapon,None,Used on Act 5 Mercenaries to proc Amplify Damagefor Attack builds | Stats: +x% Enhanced Damage
The Ward,Shield,None,Alternative to Ancient's Pledge if rolled well | Stats: All Resistances +x
Tiamat's Rebuke,Shield,None,Very strong Leveling Shield for Attack builds | Stats: All Resistances +x
Todesfaelle Flamme,Weapon,TRASH,Charsi food
Toothrow,Body Armor,TRASH,Charsi food
Torch of Iro,Weapon,TRASH,Charsi food
Treads of Cthon,Boots,TRASH,Charsi food
Twitchthroe,Body Armor,None,Solid early-game Armor for Attack builds
Umbral Disk,Shield,TRASH,Charsi food
Ume's Lament,Weapon,TRASH,Charsi food
Undead Crown,Helm,None,Early-game Mercenary helmet option
Veil of Steel,Helm,None,Decent Helmet option for Mercenaries. Not a Nightwing's Veil = Sad
Venom Grip,Gloves,TRASH,Charsi food
Venom Ward,Body Armor,None,Early-game Poison Damage tank solution. Helpful when facing Andariel or Lilith.
Vidala's Ambush,Body Armor (Set),TRASH,Charsi food
Vidala's Barb,Weapon (Set),TRASH,Charsi food
Vidala's Fetlock,Boots (Set),None,Good early-game Boots and a strong option for early Magic Find builds in combination with Vidala's Snare
Vidala's Snare,Amulet (Set),None,Niche option for early Magic Find builds in combination with Vidala's Fetlock
Viperfork,Weapon,TRASH,Charsi food
Visceratuant,Shield,TRASH,Charsi food
Wall of the Eyeless,Shield,None,Good option for low Level Caster builds. Especially good on Nova Sorceresses due to its Mana after each Kill
Warlord's Trust,Weapon,TRASH,Charsi food
Warpspear,Weapon,None,Solid utility Weapon-Swap to pre-buff Energy Shield
Whitstan's Guard,Shield (Set),None,Good Hardcore Shield option. Requires the least amount of Dexterity for maximum Chance to Block
Widowmaker,Weapon,None,Used in niche PVP builds | Stats: +x% Enhanced Damage+x to Guided Arrow
Wilhelm's Pride,Belt (Set),None,Niche item that provides Mana and Life stolen per hit
Windhammer,Weapon,None,Decent mid-game option for melee builds like the Fury Druid or Whirlwind Barbarian | Stats: +x% Enhanced Damage
Witherstring,Weapon,TRASH,Charsi food
Wizendraw,Weapon,None,Strong early-game option for Freezing Arrow Amazons | Stats: -x% to Enemy Cold Resistance+x% Enhanced Damage
Woestave,Weapon,None,Good early-game Mercenary Weapon that provides Open Wounds and a 50% Slow Effect | Stats: +x% Enhanced Damage
Wormskull,Helm,None,Early-game Mercenary Helmet used for its Life stolen per hit
Zakarum's Hand,Weapon,TRASH,Charsi food
